,Source,Target,Weight,Type
251,EmeraldRobinson,Wallbridge2020,2,Directed
252,CodeMonkeyZ,laubel131,2,Directed
253,LLinWood,AnnaStr76,2,Directed
254,EmeraldRobinson,MeinekeLaura,2,Directed
255,realDonaldTrump,bobprodus,2,Directed
256,CodeMonkeyZ,robb_otis,2,Directed
257,LouDobbs,AnnaBristol5,2,Directed
258,CodeMonkeyZ,tlfeathers880,2,Directed
259,LLinWood,hereforpotus,2,Directed
260,LLinWood,mshopeb51,2,Directed
261,CodeMonkeyZ,hereforpotus,2,Directed
262,EmeraldRobinson,LPK01225149,2,Directed
263,charliekirk11,mspjaymac,2,Directed
264,LLinWood,mspianoteacher,2,Directed
265,KanekoaTheGreat,msjeannerogers,2,Directed
266,donaldrusso994,Anthony49668762,2,Directed
267,realDonaldTrump,Ellen10504491,2,Directed
268,EmeraldRobinson,tmac12_88,2,Directed
269,realDonaldTrump,AnnMari79074785,2,Directed
270,LLinWood,AnnNatale2,2,Directed
271,gatewaypundit,henjenca,2,Directed
272,jennycohn1,MelanieBurd,2,Directed
273,EmeraldRobinson,WandaHaynes,2,Directed
274,realDonaldTrump,EllenRo52730878,2,Directed
275,SharonShepshan,SharonShepshan,2,Directed
276,LLinWood,PeterJa37918909,2,Directed
277,gatewaypundit,Ladude2014,2,Directed
278,kylenabecker,AnneBarnard7,2,Directed
279,Ramnier,hgquiceno,2,Directed
280,LLinWood,WaughSuzy,2,Directed
281,EmeraldRobinson,AnnforLiberty,2,Directed
282,LLinWood,laurape00486139,2,Directed
283,CodeMonkeyZ,MemesSunshine,2,Directed
284,RealWayneRoot,IamBruceRussell,2,Directed
285,realDonaldTrump,IamBruceRussell,2,Directed
286,EmeraldRobinson,hfc7507,2,Directed
287,EmeraldRobinson,Elizabe45314738,2,Directed
288,LouDobbs,robinj804,2,Directed
289,LLinWood,tmaxam99,2,Directed
290,EmeraldRobinson,IamJustJulie,2,Directed
291,EpochTimes,rlgsnsd,2,Directed
292,LLinWood,WaterpennyW,2,Directed
293,LouDobbs,IamJustJulie,2,Directed
294,CodeMonkeyZ,boho_joshua19,2,Directed
295,CodeMonkeyZ,WagnerHulse,2,Directed
296,EmeraldRobinson,dlhinca,2,Directed
297,charliekirk11,robertlyttle16,2,Directed
298,LLinWood,WalkFromDems,2,Directed
299,EmeraldRobinson,bnutt1232,2,Directed
300,themarketswork,Megan_aka_Jane,2,Directed
301,EmeraldRobinson,msyoung2222,2,Directed
302,EmeraldRobinson,Ann49340853,2,Directed
303,EmeraldRobinson,bnutzy1,2,Directed
304,LLinWood,tlyles77txgal,2,Directed
305,EmeraldRobinson,Navymom0,2,Directed
306,LLinWood,Mdada71381,2,Directed
307,CodeMonkeyZ,IRENEWA45168212,2,Directed
308,realDonaldTrump,lesig17,2,Directed
309,EmeraldRobinson,PlaysTrumpCard,2,Directed
310,TX_WalkerRanger,donnyharris1956,2,Directed
311,EmeraldRobinson,hadlock_d,2,Directed
312,gatewaypundit,Hoodyshit1981,2,Directed
313,CodeMonkeyZ,Matthewstm55106,2,Directed
314,EmeraldRobinson,Hoodyshit1981,2,Directed
315,CodeMonkeyZ,MatthewStover7,2,Directed
316,CodeMonkeyZ,theporkyman,2,Directed
317,CodeMonkeyZ,letsbleeditout,2,Directed
318,EmeraldRobinson,rosierebekaha,2,Directed
319,LLinWood,h_bergeroni,2,Directed
320,LLinWood,doo_001,2,Directed
321,EmeraldRobinson,Willmvg,2,Directed
322,Dreuz_1fo,rosyjour,2,Directed
323,rising_serpent,LaurieAnnBaker,2,Directed
324,CodeMonkeyZ,gwynne38,2,Directed
325,VTVcanal8,haimar77801717,2,Directed
326,EmeraldRobinson,Arnold_USA1776,2,Directed
327,EmeraldRobinson,donnalauria49,2,Directed
328,marklevinshow,bl75591225,2,Directed
329,EmeraldRobinson,SeamusTon80,2,Directed
330,realDonaldTrump,lenk_jackie,2,Directed
331,EmeraldRobinson,morgancap,2,Directed
332,EmeraldRobinson,blackpowder2160,2,Directed
333,gatewaypundit,Seahag127,2,Directed
334,EmeraldRobinson,Max1180,2,Directed
335,HowleyReporter,moretrash4me,2,Directed
336,EpochTimes,EricJorem,2,Directed
337,EmeraldRobinson,LauraMarklin,2,Directed
338,LLinWood,LauraHildebra18,2,Directed
339,LLinWood,Scswga,2,Directed
340,charliekirk11,thesaintforever,2,Directed
341,EmeraldRobinson,bklovesusa,2,Directed
342,MaihenH,ArnaldoRivero78,2,Directed
343,CodeMonkeyZ,Chasenbryce,2,Directed
344,EmeraldRobinson,bkjons,2,Directed
345,EmeraldRobinson,theleightons327,2,Directed
346,LLinWood,doptispat,2,Directed
347,EmeraldRobinson,rottrider,2,Directed
348,CodeMonkeyZ,ligh_pur,2,Directed
349,LLinWood,LeBonTravel,2,Directed
350,EmeraldRobinson,WishAponAStar,2,Directed
351,OANN,MasterT48094928,2,Directed
352,HogDexter,HogDexter,2,Directed
353,CodeMonkeyZ,downeastmainer,2,Directed
354,EmeraldRobinson,Leah05503893,2,Directed
355,TheRealKeean,Sc32814307,2,Directed
356,LLinWood,WokePatriot2,2,Directed
357,CodeMonkeyZ,HollesterS,2,Directed
358,cocando,Poppi70933629,2,Directed
359,DavidJHarrisJr,ChanChiFung10,2,Directed
360,EmeraldRobinson,thatz2bad4u,2,Directed
361,jennycohn1,Evalyn27,2,Directed
362,LLinWood,mommabear0917,2,Directed
363,CodeMonkeyZ,SawyerPierce4,2,Directed
364,ChanelRion,Mashugana_Kat,2,Directed
365,charliekirk11,momof4murray,2,Directed
366,CodeMonkeyZ,Politisourced,2,Directed
367,marklevinshow,AsherBlackPalm,2,Directed
368,realDonaldTrump,MattHendricks21,2,Directed
369,themarketswork,gustadoloz,2,Directed
370,EmeraldRobinson,theillusivealyd,2,Directed
371,LLinWood,ScotLithVAian,2,Directed
372,marklevinshow,Charles52281511,2,Directed
373,realDonaldTrump,theguylaw,2,Directed
374,EmeraldRobinson,Law9071,2,Directed
375,jennycohn1,dorkaslane,2,Directed
376,OANN,AshleyMunoz2020,2,Directed
377,threadreaderapp,doubledittos,2,Directed
378,CodeMonkeyZ,thedutchfreddie,2,Directed
379,CodeMonkeyZ,Esponge85,2,Directed
380,CodeMonkeyZ,thedeepertheluv,2,Directed
381,charliekirk11,thecolebosi,2,Directed
382,CodeMonkeyZ,bill_woolard,2,Directed
383,CodeMonkeyZ,Schrump4Trump,2,Directed
384,EmeraldRobinson,AstralWayfarer,2,Directed
385,HowleyReporter,Piper_Fogle,2,Directed
386,realDonaldTrump,blademanstocks,2,Directed
387,CodeMonkeyZ,ChefLippincott,2,Directed
388,CodeMonkeyZ,blsosa1,2,Directed
389,EmeraldRobinson,WelshGoodLife,2,Directed
390,EmeraldRobinson,LandmarkCarol,2,Directed
391,LLinWood,docbairey1,2,Directed
392,LLinWood,mpriceiv,2,Directed
393,LouDobbs,Antonio55184671,2,Directed
394,LLinWood,Serendipiterry,2,Directed
395,LLinWood,Emperipolisis,2,Directed
396,realDonaldTrump,Lane26kmp2205,2,Directed
397,charliekirk11,Antoinotabot,2,Directed
398,EmeraldRobinson,rogerkinkaid,2,Directed
399,realDonaldTrump,LaneeSutherland,2,Directed
400,EmeraldRobinson,lebntb2016,2,Directed
401,realDonaldTrump,tiger86916,2,Directed
402,realDonaldTrump,Antonsilv1,2,Directed
403,CodeMonkeyZ,Weneedavictory,2,Directed
404,LLinWood,EndOfIllusion,2,Directed
405,realDonaldTrump,Emmanue37542510,2,Directed
406,themarketswork,SethRic61410528,2,Directed
407,EmeraldRobinson,Apaulothirteen1,2,Directed
408,CodeMonkeyZ,mrandmrsnaples,2,Directed
409,EmeraldRobinson,lazyewe69,2,Directed
410,LLinWood,PhilBee20,2,Directed
411,EmeraldRobinson,PhilTauscher,2,Directed
412,EmeraldRobinson,dmp11181,2,Directed
413,RobletoFire,rockylee54,2,Directed
414,SexCounseling,SexCounseling,2,Directed
415,LLinWood,Childlikefaaith,2,Directed
416,CodeMonkeyZ,ILOVEUSA1000,2,Directed
417,JohnBasham,WellsCharlene,2,Directed
418,EmeraldRobinson,hayatti10,2,Directed
419,gatewaypundit,Sethro_tull_556,2,Directed
420,CodeMonkeyZ,IKCM6,2,Directed
421,EmeraldRobinson,dnarby,2,Directed
422,jennycohn1,tim_swiftysspam,2,Directed
423,realDonaldTrump,tim74za,2,Directed
424,BreitbartNews,Sethro_tull_556,2,Directed
425,EmeraldRobinson,SenseMeg,2,Directed
426,CodeMonkeyZ,LanzerMargit,2,Directed
427,EmeraldRobinson,SeanDowey,2,Directed
428,charliekirk11,hannamyerswv,2,Directed
429,realDonaldTrump,Pimpernut,2,Directed
430,LLinWood,Arcsyst1,2,Directed
431,LLinWood,leighc72,2,Directed
432,realDonaldTrump,leilapahlavii,2,Directed
433,CodeMonkeyZ,moseydoe,2,Directed
434,realDonaldTrump,SeawordG,2,Directed
435,EmeraldRobinson,Seaview1044,2,Directed
436,charliekirk11,rondab20,2,Directed
437,LouDobbs,LarryJSmith16,2,Directed
438,LLinWood,moses_archer,2,Directed
439,Ramnier,MaximoRey16,2,Directed
440,LLinWood,hanguifang,2,Directed
441,realDonaldTrump,lemanege1,2,Directed
442,donaldrusso994,donaldrusso994,2,Directed
443,realDonaldTrump,blakdogs,2,Directed
444,LLinWood,PiperR3800,2,Directed
445,LLinWood,Piliguina1,2,Directed
446,EmeraldRobinson,WhigsnTwigs,2,Directed
447,jennycohn1,doglovingfool,2,Directed
448,EmeraldRobinson,HunterRay,2,Directed
449,CodeMonkeyZ,April4Trump1625,2,Directed
450,acastef53,CherryB46641077,2,Directed
451,LLinWood,Picevol,2,Directed
452,gatewaypundit,LaredoAL,2,Directed
453,LLinWood,HuntersCrackP10,2,Directed
454,CodeMonkeyZ,Wfitzbcbw,2,Directed
455,KanekoaTheGreat,Wgner,2,Directed
456,CodeMonkeyZ,HunterRay,2,Directed
457,gatewaypundit,May46310498,2,Directed
458,CodeMonkeyZ,blessedtoexcel,2,Directed
459,EmeraldRobinson,MayoGator,2,Directed
460,CodeMonkeyZ,SeekrOfTheLight,2,Directed
461,LLinWood,mountaindroppin,2,Directed
462,EmeraldRobinson,Whersmyshirt,2,Directed
463,EmeraldRobinson,LarryEsposito66,2,Directed
464,HowleyReporter,happyfinko,2,Directed
465,EmeraldRobinson,LIQUDREAMS,2,Directed
466,CodeMonkeyZ,hollywoodbld1,2,Directed
467,realDonaldTrump,boonbomber,2,Directed
468,LLinWood,UndeadDonkey,2,Directed
469,EmeraldRobinson,SparksRepWomen,2,Directed
470,KanekoaTheGreat,Una_Paloma1,2,Directed
471,CodeMonkeyZ,UnblindFaith,2,Directed
472,LLinWood,kimmyk777,2,Directed
473,LLinWood,Drs11110,2,Directed
474,LLinWood,SpaceForceTom,2,Directed
475,LLinWood,kims4517,2,Directed
476,LLinWood,uniteCOforus,2,Directed
477,Ramnier,SoyRJ_,2,Directed
478,realDonaldTrump,cM11t0cNa3JomeY,2,Directed
479,EmeraldRobinson,ParkHillsPam,2,Directed
480,realDonaldTrump,debbiepoup,2,Directed
481,gatewaypundit,ParkHillsPam,2,Directed
482,EmeraldRobinson,kindberg_h,2,Directed
483,charliekirk11,debbietuggleFL,2,Directed
484,HowleyReporter,KillsomB,2,Directed
485,LLinWood,debby_hoyman,2,Directed
486,gatewaypundit,Southernkindne1,2,Directed
487,HowleyReporter,up2u4fate2,2,Directed
488,marklevinshow,Khaleesi_2020,2,Directed
489,EmeraldRobinson,ConnaGold,2,Directed
490,naoyafujiwara,ddndn256512,2,Directed
491,LLinWood,USAwakeup1,2,Directed
492,EmeraldRobinson,Millie22143023,2,Directed
493,CodeMonkeyZ,Alan_R2A,2,Directed
494,realDonaldTrump,KevinC1960,2,Directed
495,realDonaldTrump,USMC2020,2,Directed
496,KanekoaTheGreat,JWilcox111,2,Directed
497,gatewaypundit,usafvet2002,2,Directed
498,RepMattGaetz,AlbertH88190105,2,Directed
499,EmeraldRobinson,Constit83872425,2,Directed
500,JamesNavaCom,Ulises61393998,2,Directed
501,Ramnier,Albizu2010,2,Directed
502,EmeraldRobinson,usa1patriotman,2,Directed
503,realDonaldTrump,Aldamakush7,2,Directed
504,EmeraldRobinson,JVAE63,2,Directed
505,Ramnier,JULITEOR,2,Directed
506,paulsperry_,DredgeItUp,2,Directed
507,LLinWood,JTumink,2,Directed
508,EmeraldRobinson,Paolalopez1971,2,Directed
509,cocando,PartidoURD,2,Directed
510,LLinWood,realmanorhill,2,Directed
511,EmeraldRobinson,realArizonaDan,2,Directed
512,EmeraldRobinson,debramilam0099,2,Directed
513,CodeMonkeyZ,burgcats,2,Directed
