,Author,Thread Author,Engagement Type,frequency
394,Innaconundrum,CodeMonkeyZ,RETWEET,2
395,gitrdone923,debitats,RETWEET,2
396,Hoodyshit1981,gatewaypundit,RETWEET,2
397,greyscout888,realDonaldTrump,RETWEET,2
398,HunterRay,CodeMonkeyZ,RETWEET,2
399,HunterRay,EmeraldRobinson,RETWEET,2
400,HuntersCrackP10,LLinWood,RETWEET,2
401,IKCM6,CodeMonkeyZ,RETWEET,2
402,ILOVEUSA1000,CodeMonkeyZ,RETWEET,2
403,IRENEWA45168212,CodeMonkeyZ,RETWEET,2
404,gollfe,realDonaldTrump,RETWEET,2
405,I_Say_Yeah123,EmeraldRobinson,RETWEET,2
406,IamBruceRussell,RealWayneRoot,RETWEET,2
407,IamBruceRussell,realDonaldTrump,RETWEET,2
408,IamJustJulie,EmeraldRobinson,RETWEET,2
409,IamJustJulie,LouDobbs,RETWEET,2
410,godcountryfam,charliekirk11,RETWEET,2
411,gntschnzer,CodeMonkeyZ,RETWEET,2
412,gmolho10,SidneyPowell1,RETWEET,2
413,glofin613,EmeraldRobinson,RETWEET,2
414,gkirschner91,gatewaypundit,RETWEET,2
415,gkcfan21,CodeMonkeyZ,RETWEET,2
416,gjdrya,gatewaypundit,RETWEET,2
417,GregKOESTER,gatewaypundit,RETWEET,2
418,GreenSkyDeb,CodeMonkeyZ,RETWEET,2
419,Grapa24250,LLinWood,RETWEET,2
420,FreelsCl,realDonaldTrump,RETWEET,2
421,jigga__please,CodeMonkeyZ,RETWEET,2
422,jiangchunxia,realDonaldTrump,RETWEET,2
423,FreeThinkerDona,EmeraldRobinson,RETWEET,2
424,FreeThinkerDona,realDonaldTrump,RETWEET,2
425,jhowarton,EmeraldRobinson,RETWEET,2
426,jhoff3763,OANN,RETWEET,2
427,Freedom1776__,HowleyReporter,RETWEET,2
428,Freedom35045941,EmeraldRobinson,RETWEET,2
429,jhawkcat,CodeMonkeyZ,RETWEET,2
430,jhana1,LLinWood,RETWEET,2
431,FridaMay4,CodeMonkeyZ,RETWEET,2
432,GIJoeS916,gatewaypundit,RETWEET,2
433,Fridaydog2,LLinWood,RETWEET,2
434,Frippin2,EmeraldRobinson,RETWEET,2
435,FureyRobert,EmeraldRobinson,RETWEET,2
436,laubel131,CodeMonkeyZ,RETWEET,2
437,jennyp_tiu,CodeMonkeyZ,RETWEET,2
438,GBeasleybee,CodeMonkeyZ,RETWEET,2
439,GBervelin,HowleyReporter,RETWEET,2
440,GCPatriots,EmeraldRobinson,RETWEET,2
441,GCocchioni,cocando,RETWEET,2
442,GContrarian,EmeraldRobinson,RETWEET,2
443,FredJfw801,CodeMonkeyZ,RETWEET,2
444,FredForTrump,EmeraldRobinson,RETWEET,2
445,jillybeangibson,CodeMonkeyZ,RETWEET,2
446,FranciscoViual2,cocando,RETWEET,2
447,Fashion_Whit,EmeraldRobinson,RETWEET,2
448,johannkruger7,realDonaldTrump,RETWEET,2
449,joepilot56,RedWingGrips,RETWEET,2
450,FeliciaDee9,LLinWood,RETWEET,2
451,joejack98823235,ChuckCallesto,RETWEET,2
452,joe_kidder2,kelly2277,RETWEET,2
453,Fglobalism1984,glennbeck,RETWEET,2
454,Firstnanashikun,kawasoe0916,RETWEET,2
455,Fisherman1980W,realDonaldTrump,RETWEET,2
456,jmarch27,CodeMonkeyZ,RETWEET,2
457,jmac9777,CodeMonkeyZ,RETWEET,2
458,jlusrey,EmeraldRobinson,RETWEET,2
459,jlsemmel,LLinWood,RETWEET,2
460,jln1987th,EmeraldRobinson,RETWEET,2
461,jlmtx,EmeraldRobinson,RETWEET,2
462,jllgraham,charliekirk11,RETWEET,2
463,jkourey,realDonaldTrump,RETWEET,2
464,jkastro18,Ramnier,RETWEET,2
465,jjccsteele,LLinWood,RETWEET,2
466,jjavergara,Ramnier,RETWEET,2
467,jjauthor,EmeraldRobinson,RETWEET,2
468,jennfromcali127,themarketswork,RETWEET,2
469,GMAHN10,realDonaldTrump,RETWEET,2
470,GrantMelhorn,gatewaypundit,RETWEET,2
471,GlendaGalvez4,themarketswork,RETWEET,2
472,GigiLew72713,CodeMonkeyZ,RETWEET,2
473,Gigiconnik1,realDonaldTrump,RETWEET,2
474,GiglioMarilyn,EmeraldRobinson,RETWEET,2
475,jackamundo77,CodeMonkeyZ,RETWEET,2
476,GinaEBurns,EmeraldRobinson,RETWEET,2
477,j_sfev,realDonaldTrump,RETWEET,2
478,GirolamoMaggio,CesareSacchetti,RETWEET,2
479,iwinegirl,RealMattCouch,RETWEET,2
480,Gjarfan,CodeMonkeyZ,RETWEET,2
481,itsme_donna4,gatewaypundit,RETWEET,2
482,itsYourGrace,EmeraldRobinson,RETWEET,2
483,GMSRepublic,LLinWood,RETWEET,2
484,itsKimmyJ,LLinWood,RETWEET,2
485,itqtpie,gatewaypundit,RETWEET,2
486,GlowsInMyHeart,RealVinnieJames,RETWEET,2
487,GoonersDream,EmeraldRobinson,RETWEET,2
488,GracefulAmerica,EmeraldRobinson,RETWEET,2
489,immamajojo,realDonaldTrump,RETWEET,2
490,GracieLouDotCom,LLinWood,RETWEET,2
491,GrandeBabbo69,CodeMonkeyZ,RETWEET,2
492,iloveparis__,CodeMonkeyZ,RETWEET,2
493,GrannieSchool,CodeMonkeyZ,RETWEET,2
494,Gigi4_Rocks,RealMattCouch,RETWEET,2
495,GiSmlie,LLinWood,RETWEET,2
496,jadegreen0987,LLinWood,RETWEET,2
497,jaebbejmejwejie,CodeMonkeyZ,RETWEET,2
498,jemz1113,realDonaldTrump,RETWEET,2
499,jehovahrappha,EmeraldRobinson,RETWEET,2
500,Gabby43413389,CodeMonkeyZ,RETWEET,2
501,jdgrl13,LLinWood,RETWEET,2
502,jcmurphy3,LLinWood,RETWEET,2
503,GalaticaActual,EmeraldRobinson,RETWEET,2
504,GarGoyl71858020,EmeraldRobinson,RETWEET,2
505,jaylieberman3,CodeMonkeyZ,RETWEET,2
506,jaybe312,EmeraldRobinson,RETWEET,2
507,GaryHagl,gatewaypundit,RETWEET,2
508,GaryReney,EmeraldRobinson,RETWEET,2
509,javajuliet,CodeMonkeyZ,RETWEET,2
510,GayeRobyn,jennycohn1,RETWEET,2
511,Gelz209,CodeMonkeyZ,RETWEET,2
512,jamiearrington,charliekirk11,RETWEET,2
513,GeorgeT95114164,EmeraldRobinson,RETWEET,2
514,jamesedgriffin,LLinWood,RETWEET,2
515,jamesclauson8,gatewaypundit,RETWEET,2
516,james12222544,CodeMonkeyZ,RETWEET,2
517,jalbertonez,EmeraldRobinson,RETWEET,2
518,Gettingtrump,CodeMonkeyZ,RETWEET,2
519,jeremyhelsel,LLinWood,RETWEET,2
520,DabarbieriDonna,gatewaypundit,RETWEET,2
521,laurape00486139,LLinWood,RETWEET,2
522,nonamehombre,CodeMonkeyZ,RETWEET,2
523,ooophoenixooo13,CodeMonkeyZ,RETWEET,2
524,BethFau15373098,LLinWood,RETWEET,2
